Column1,Method,NumSimulationScenario,Distribution,TravelCov,ScenarioCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
0,Scenario,10000,normal,0.25,0.1,50,20,116.665343,50,1,3,0.98,10,0,0,3.9707,0.0065,0.9725,0.0044,53,"[(0, 1.0), (1, 1.0), (2, 0.9424), (3, 0.9999), (4, 1.0), (5, 0.9823), (6, 0.8455), (7, 0.6759999999999999), (8, 0.9801), (9, 0.9722), (10, 1.0), (11, 1.0), (12, 0.5011), (13, 1.0), (14, 0.9954), (15, 0.8853), (16, 0.966), (17, 0.9999), (18, 0.7953), (19, 0.9228), (20, 0.9933), (21, 0.886), (22, 0.978), (23, 0.9333), (24, 1.0), (25, 0.7886), (26, 0.813), (27, 0.9855), (28, 0.8364), (29, 0.9031), (30, 0.8724000000000001), (31, 0.9969), (32, 1.0), (33, 0.997), (34, 0.8964), (35, 0.9046), (36, 0.7249), (37, 1.0), (38, 1.0), (39, 0.9792), (40, 0.9909), (41, 0.9903), (42, 0.9212), (43, 1.0), (44, 0.9332), (45, 0.8847), (46, 0.986), (47, 0.9754), (48, 0.7847), (49, 0.9489)]",0.927362,0.5011,40,0.52,20,6,26,50
1,Scenario,10000,normal,0.25,0.1,40,20,52.09674716,40,1,3,0.98,10,0,0,2.7294,0,0.9419,0,70,"[(0, 1.0), (1, 0.977), (2, 1.0), (3, 1.0), (4, 1.0), (5, 0.9428), (6, 0.9745), (7, 1.0), (8, 0.9999), (9, 0.8493999999999999), (10, 0.4962), (11, 0.9977), (12, 1.0), (13, 1.0), (14, 1.0), (15, 0.9785), (16, 0.9764), (17, 1.0), (18, 0.9053), (19, 0.8287), (20, 0.9212), (21, 1.0), (22, 0.5118), (23, 1.0), (24, 1.0), (25, 1.0), (26, 1.0), (27, 0.8238), (28, 0.9073), (29, 1.0), (30, 0.963), (31, 0.9969), (32, 0.9827), (33, 0.73), (34, 0.9761), (35, 0.9075), (36, 0.981), (37, 1.0), (38, 1.0), (39, 0.7865)]",0.935355,0.4962,20,0.65,12,14,26,40
2,Scenario,10000,normal,0.25,0.1,40,20,55.09064293,40,1,3,0.98,10,0,0,2.7294,0,0.9419,0,70,"[(0, 1.0), (1, 0.977), (2, 1.0), (3, 1.0), (4, 1.0), (5, 0.9428), (6, 0.9745), (7, 1.0), (8, 0.9999), (9, 0.8493999999999999), (10, 0.4962), (11, 0.9977), (12, 1.0), (13, 1.0), (14, 1.0), (15, 0.9785), (16, 0.9764), (17, 1.0), (18, 0.9053), (19, 0.8287), (20, 0.9212), (21, 1.0), (22, 0.5118), (23, 1.0), (24, 1.0), (25, 1.0), (26, 1.0), (27, 0.8238), (28, 0.9073), (29, 1.0), (30, 0.963), (31, 0.9969), (32, 0.9827), (33, 0.73), (34, 0.9761), (35, 0.9075), (36, 0.981), (37, 1.0), (38, 1.0), (39, 0.7865)]",0.935355,0.4962,20,0.65,12,14,26,40
3,EVT,10000,normal,0.25,0.1,50,20,101.1079988,50,1,3,2.05,0,0.25,0.1,0.2251,0.006,0.2272,0.0053,25,"[(0, 0.9836), (1, 1.0), (2, 0.9927), (3, 0.9996), (4, 0.9961), (5, 0.9823), (6, 0.9989), (7, 0.9975), (8, 0.9857), (9, 1.0), (10, 1.0), (11, 1.0), (12, 0.9826), (13, 0.9901), (14, 0.9991), (15, 0.9939), (16, 0.9831), (17, 1.0), (18, 0.9999), (19, 0.9997), (20, 0.9889), (21, 1.0), (22, 0.9959), (23, 0.99), (24, 0.9951), (25, 1.0), (26, 1.0), (27, 0.9873), (28, 0.9947), (29, 0.993), (30, 0.9831), (31, 1.0), (32, 0.9841), (33, 0.9983), (34, 1.0), (35, 0.9966), (36, 0.9967), (37, 0.992), (38, 1.0), (39, 0.9925), (40, 0.9908), (41, 1.0), (42, 0.9838), (43, 0.9943), (44, 0.9945), (45, 0.9943), (46, 1.0), (47, 1.0), (48, 0.9986), (49, 1.0)]",0.994586,0.9823,40,1,40,10,50,50
4,EVT,10000,normal,0.25,0.1,60,20,665.6849048,60,1,3,2.05,0,0.25,0.1,0.3151,0.0057,0.3104,0.0058,30,"[(0, 0.9978), (1, 1.0), (2, 0.9832), (3, 1.0), (4, 0.9943), (5, 1.0), (6, 0.9958), (7, 0.9804), (8, 0.9985), (9, 0.9788), (10, 1.0), (11, 0.9843), (12, 0.996), (13, 0.9912), (14, 0.9875), (15, 0.9946), (16, 0.9984), (17, 0.9924), (18, 0.9954), (19, 0.9887), (20, 0.998), (21, 0.9821), (22, 1.0), (23, 0.9975), (24, 1.0), (25, 1.0), (26, 1.0), (27, 0.9924), (28, 1.0), (29, 0.9951), (30, 0.9912), (31, 0.996), (32, 0.9811), (33, 0.9911), (34, 1.0), (35, 0.9846), (36, 0.9944), (37, 1.0), (38, 0.9959), (39, 0.9941), (40, 0.9933), (41, 0.9947), (42, 0.9819), (43, 1.0), (44, 1.0), (45, 0.9999), (46, 0.9845), (47, 0.9939), (48, 0.9935), (49, 0.9916), (50, 0.994), (51, 0.9878), (52, 0.995), (53, 1.0), (54, 0.985), (55, 0.9962), (56, 0.9943), (57, 0.9959), (58, 0.9879), (59, 0.9926)]",0.993546667,0.9788,60,1,60,0,60,60
5,EVT,10000,normal,0.25,0.1,50,20,100.71701,50,1,3,2.05,0,0.25,0.1,0.2251,0.006,0.2272,0.0053,25,"[(0, 0.9836), (1, 1.0), (2, 0.9927), (3, 0.9996), (4, 0.9961), (5, 0.9823), (6, 0.9989), (7, 0.9975), (8, 0.9857), (9, 1.0), (10, 1.0), (11, 1.0), (12, 0.9826), (13, 0.9901), (14, 0.9991), (15, 0.9939), (16, 0.9831), (17, 1.0), (18, 0.9999), (19, 0.9997), (20, 0.9889), (21, 1.0), (22, 0.9959), (23, 0.99), (24, 0.9951), (25, 1.0), (26, 1.0), (27, 0.9873), (28, 0.9947), (29, 0.993), (30, 0.9831), (31, 1.0), (32, 0.9841), (33, 0.9983), (34, 1.0), (35, 0.9966), (36, 0.9967), (37, 0.992), (38, 1.0), (39, 0.9925), (40, 0.9908), (41, 1.0), (42, 0.9838), (43, 0.9943), (44, 0.9945), (45, 0.9943), (46, 1.0), (47, 1.0), (48, 0.9986), (49, 1.0)]",0.994586,0.9823,40,1,40,10,50,50
6,Deterministic ,10000,normal,0.25,0.1,50,20,51.12181997,50,1,3,0.98,0,0,0,20.2655,0.0493,0.9998,0.0303,114,"[(0, 0.9836), (1, 1.0), (2, 0.9424), (3, 0.5897), (4, 1.0), (5, 1.0), (6, 0.8455), (7, 1.0), (8, 1.0), (9, 1.0), (10, 1.0), (11, 1.0), (12, 0.7209), (13, 0.6421), (14, 0.9954), (15, 0.9991), (16, 0.9049), (17, 0.7454000000000001), (18, 0.9999), (19, 0.8827), (20, 0.8429), (21, 0.6232), (22, 0.978), (23, 0.7699), (24, 1.0), (25, 0.9773), (26, 0.7376), (27, 0.7666999999999999), (28, 0.8521), (29, 0.5684), (30, 0.5656), (31, 0.6978), (32, 0.5315), (33, 0.7599), (34, 1.0), (35, 0.9077), (36, 1.0), (37, 0.996), (38, 1.0), (39, 1.0), (40, 0.518), (41, 0.7855), (42, 0.6091), (43, 0.845), (44, 0.6926), (45, 0.6828000000000001), (46, 0.7309), (47, 0.8109999999999999), (48, 0.7569), (49, 0.6662)]",0.838484,0.518,40,0.4,13,7,20,50
7,Deterministic ,10000,normal,0.25,0.1,60,20,70.55311394,60,1,3,0.98,0,0,0,41.3324,1.3017,1,0.4082,169,"[(0, 0.6408), (1, 0.9462), (2, 0.9629), (3, 0.9995), (4, 0.9065), (5, 1.0), (6, 0.7126), (7, 1.0), (8, 0.5183), (9, 0.9989), (10, 1.0), (11, 0.9638), (12, 0.9547), (13, 1.0), (14, 0.8379), (15, 0.6189), (16, 0.751), (17, 0.5589999999999999), (18, 0.7359), (19, 0.6484), (20, 0.7166), (21, 0.5631999999999999), (22, 1.0), (23, 0.5958), (24, 0.951), (25, 0.7182999999999999), (26, 0.7009000000000001), (27, 0.6456), (28, 0.8364), (29, 0.6249), (30, 0.6236999999999999), (31, 0.7908), (32, 0.6738999999999999), (33, 0.7864), (34, 1.0), (35, 0.5785), (36, 0.5067999999999999), (37, 0.7027), (38, 0.7874), (39, 0.5563), (40, 0.7341), (41, 1.0), (42, 0.8998), (43, 0.9089), (44, 0.7958000000000001), (45, 0.8755), (46, 0.6461), (47, 0.8588), (48, 0.6837), (49, 0.7427), (50, 0.5243), (51, 0.753), (52, 0.8057), (53, 0.7688), (54, 0.4538), (55, 0.9975), (56, 0.5534), (57, 0.9052), (58, 0.6114999999999999), (59, 0.7859)]",0.77365,0.4538,60,0.166666667,10,0,10,60
8,EVT,10000,normal,0.25,0.1,50,20,101.5595691,50,1,3,2.05,0,0.25,0.1,0.2251,0.006,0.2272,0.0053,25,"[(0, 0.9836), (1, 1.0), (2, 0.9927), (3, 0.9996), (4, 0.9961), (5, 0.9823), (6, 0.9989), (7, 0.9975), (8, 0.9857), (9, 1.0), (10, 1.0), (11, 1.0), (12, 0.9826), (13, 0.9901), (14, 0.9991), (15, 0.9939), (16, 0.9831), (17, 1.0), (18, 0.9999), (19, 0.9997), (20, 0.9889), (21, 1.0), (22, 0.9959), (23, 0.99), (24, 0.9951), (25, 1.0), (26, 1.0), (27, 0.9873), (28, 0.9947), (29, 0.993), (30, 0.9831), (31, 1.0), (32, 0.9841), (33, 0.9983), (34, 1.0), (35, 0.9966), (36, 0.9967), (37, 0.992), (38, 1.0), (39, 0.9925), (40, 0.9908), (41, 1.0), (42, 0.9838), (43, 0.9943), (44, 0.9945), (45, 0.9943), (46, 1.0), (47, 1.0), (48, 0.9986), (49, 1.0)]",0.994586,0.9823,40,1,40,10,50,50
9,EVT,10000,normal,0.25,0.1,40,20,49.03768301,40,1,3,2.05,0,0.25,0.1,0.086,0.001,0.1393,0.0012,20,"[(0, 1.0), (1, 0.9805), (2, 0.9893), (3, 1.0), (4, 0.9987), (5, 0.9942), (6, 1.0), (7, 0.9926), (8, 1.0), (9, 0.9879), (10, 1.0), (11, 0.998), (12, 1.0), (13, 0.997), (14, 1.0), (15, 0.9879), (16, 0.9971), (17, 1.0), (18, 0.9985), (19, 1.0), (20, 1.0), (21, 1.0), (22, 0.9999), (23, 0.9924), (24, 0.998), (25, 0.9999), (26, 1.0), (27, 0.9881), (28, 0.9947), (29, 1.0), (30, 0.9944), (31, 0.996), (32, 1.0), (33, 1.0), (34, 0.9932), (35, 1.0), (36, 0.9821), (37, 1.0), (38, 1.0), (39, 0.9845)]",0.9961225,0.9805,20,1,20,20,40,40
10,Scenario,10000,normal,0.25,0.1,40,20,119.8514431,40,1,3,0.98,100,0,0,0.45,0.108,0.2246,0.0732,25,"[(0, 1.0), (1, 0.9805), (2, 0.9966), (3, 1.0), (4, 1.0), (5, 0.9739), (6, 1.0), (7, 0.9704), (8, 0.9952), (9, 0.9997), (10, 1.0), (11, 1.0), (12, 1.0), (13, 0.9885), (14, 1.0), (15, 0.9995), (16, 1.0), (17, 1.0), (18, 0.9999), (19, 0.9996), (20, 1.0), (21, 1.0), (22, 1.0), (23, 1.0), (24, 0.998), (25, 1.0), (26, 1.0), (27, 1.0), (28, 1.0), (29, 1.0), (30, 0.9365), (31, 0.9784), (32, 0.9327), (33, 1.0), (34, 1.0), (35, 1.0), (36, 0.999), (37, 1.0), (38, 1.0), (39, 1.0)]",0.99371,0.9327,20,0.9,18,18,36,40
11,Deterministic ,10000,normal,0.25,0.1,50,20,50.67637396,50,1,3,0.98,0,0,0,20.2655,0.0493,0.9998,0.0303,114,"[(0, 0.9836), (1, 1.0), (2, 0.9424), (3, 0.5897), (4, 1.0), (5, 1.0), (6, 0.8455), (7, 1.0), (8, 1.0), (9, 1.0), (10, 1.0), (11, 1.0), (12, 0.7209), (13, 0.6421), (14, 0.9954), (15, 0.9991), (16, 0.9049), (17, 0.7454000000000001), (18, 0.9999), (19, 0.8827), (20, 0.8429), (21, 0.6232), (22, 0.978), (23, 0.7699), (24, 1.0), (25, 0.9773), (26, 0.7376), (27, 0.7666999999999999), (28, 0.8521), (29, 0.5684), (30, 0.5656), (31, 0.6978), (32, 0.5315), (33, 0.7599), (34, 1.0), (35, 0.9077), (36, 1.0), (37, 0.996), (38, 1.0), (39, 1.0), (40, 0.518), (41, 0.7855), (42, 0.6091), (43, 0.845), (44, 0.6926), (45, 0.6828000000000001), (46, 0.7309), (47, 0.8109999999999999), (48, 0.7569), (49, 0.6662)]",0.838484,0.518,40,0.4,13,7,20,50
12,Scenario,10000,normal,0.25,0.1,50,20,574.40905,50,1,3,0.98,100,0,0,0.7897,0.1678,0.4369,0.1747,40,"[(0, 0.9836), (1, 1.0), (2, 0.9123), (3, 1.0), (4, 1.0), (5, 0.9888), (6, 1.0), (7, 1.0), (8, 1.0), (9, 0.9552), (10, 1.0), (11, 0.992), (12, 1.0), (13, 1.0), (14, 0.9954), (15, 1.0), (16, 1.0), (17, 0.9709), (18, 1.0), (19, 0.9974), (20, 0.9765), (21, 0.9457), (22, 0.978), (23, 0.9852), (24, 0.9759), (25, 1.0), (26, 1.0), (27, 1.0), (28, 1.0), (29, 1.0), (30, 0.96), (31, 1.0), (32, 1.0), (33, 0.9935), (34, 1.0), (35, 0.9934), (36, 0.9512), (37, 0.9586), (38, 1.0), (39, 1.0), (40, 0.9981), (41, 1.0), (42, 0.9497), (43, 0.9369), (44, 0.979), (45, 0.9776), (46, 1.0), (47, 1.0), (48, 0.9995), (49, 1.0)]",0.987088,0.9123,40,0.82,33,8,41,50
13,Scenario,10000,normal,0.25,0.1,40,20,125.266712,40,1,3,0.98,100,0,0,0.45,0.108,0.2246,0.0732,25,"[(0, 1.0), (1, 0.9805), (2, 0.9966), (3, 1.0), (4, 1.0), (5, 0.9739), (6, 1.0), (7, 0.9704), (8, 0.9952), (9, 0.9997), (10, 1.0), (11, 1.0), (12, 1.0), (13, 0.9885), (14, 1.0), (15, 0.9995), (16, 1.0), (17, 1.0), (18, 0.9999), (19, 0.9996), (20, 1.0), (21, 1.0), (22, 1.0), (23, 1.0), (24, 0.998), (25, 1.0), (26, 1.0), (27, 1.0), (28, 1.0), (29, 1.0), (30, 0.9365), (31, 0.9784), (32, 0.9327), (33, 1.0), (34, 1.0), (35, 1.0), (36, 0.999), (37, 1.0), (38, 1.0), (39, 1.0)]",0.99371,0.9327,20,0.9,18,18,36,40
14,EVT,10000,normal,0.25,0.1,60,20,668.9033639,60,1,3,2.05,0,0.25,0.1,0.3151,0.0057,0.3104,0.0058,30,"[(0, 0.9978), (1, 1.0), (2, 0.9832), (3, 1.0), (4, 0.9943), (5, 1.0), (6, 0.9958), (7, 0.9804), (8, 0.9985), (9, 0.9788), (10, 1.0), (11, 0.9843), (12, 0.996), (13, 0.9912), (14, 0.9875), (15, 0.9946), (16, 0.9984), (17, 0.9924), (18, 0.9954), (19, 0.9887), (20, 0.998), (21, 0.9821), (22, 1.0), (23, 0.9975), (24, 1.0), (25, 1.0), (26, 1.0), (27, 0.9924), (28, 1.0), (29, 0.9951), (30, 0.9912), (31, 0.996), (32, 0.9811), (33, 0.9911), (34, 1.0), (35, 0.9846), (36, 0.9944), (37, 1.0), (38, 0.9959), (39, 0.9941), (40, 0.9933), (41, 0.9947), (42, 0.9819), (43, 1.0), (44, 1.0), (45, 0.9999), (46, 0.9845), (47, 0.9939), (48, 0.9935), (49, 0.9916), (50, 0.994), (51, 0.9878), (52, 0.995), (53, 1.0), (54, 0.985), (55, 0.9962), (56, 0.9943), (57, 0.9959), (58, 0.9879), (59, 0.9926)]",0.993546667,0.9788,60,1,60,0,60,60
15,Scenario,10000,normal,0.25,0.1,60,20,405.7201271,60,1,3,0.98,10,0,0,6.8533,0.3631,0.9869,0.2066,73,"[(0, 1.0), (1, 0.8389), (2, 0.8087), (3, 0.9489), (4, 0.9948), (5, 1.0), (6, 0.8455), (7, 0.905), (8, 0.9988), (9, 0.8687), (10, 0.9985), (11, 0.9988), (12, 1.0), (13, 0.7911), (14, 0.8345), (15, 1.0), (16, 0.976), (17, 0.9742999999999999), (18, 0.7926), (19, 0.9511000000000001), (20, 0.9786), (21, 0.9877), (22, 0.9959), (23, 0.9412), (24, 1.0), (25, 0.9021), (26, 0.49770000000000003), (27, 0.9607), (28, 1.0), (29, 0.9769), (30, 1.0), (31, 0.9476), (32, 0.7653), (33, 1.0), (34, 0.9741), (35, 0.9987), (36, 1.0), (37, 0.9983), (38, 0.7874), (39, 0.7332000000000001), (40, 0.9955), (41, 1.0), (42, 0.9718), (43, 0.9543), (44, 0.8324), (45, 0.994), (46, 0.9735), (47, 1.0), (48, 0.9967), (49, 0.8647), (50, 1.0), (51, 1.0), (52, 0.8648), (53, 0.5005999999999999), (54, 1.0), (55, 0.9975), (56, 0.9925), (57, 0.9766), (58, 0.9084), (59, 0.9773)]",0.929536667,0.4977,60,0.533333333,32,0,32,60
16,EVT,10000,normal,0.25,0.1,40,20,48.71550488,40,1,3,2.05,0,0.25,0.1,0.086,0.001,0.1393,0.0012,20,"[(0, 1.0), (1, 0.9805), (2, 0.9893), (3, 1.0), (4, 0.9987), (5, 0.9942), (6, 1.0), (7, 0.9926), (8, 1.0), (9, 0.9879), (10, 1.0), (11, 0.998), (12, 1.0), (13, 0.997), (14, 1.0), (15, 0.9879), (16, 0.9971), (17, 1.0), (18, 0.9985), (19, 1.0), (20, 1.0), (21, 1.0), (22, 0.9999), (23, 0.9924), (24, 0.998), (25, 0.9999), (26, 1.0), (27, 0.9881), (28, 0.9947), (29, 1.0), (30, 0.9944), (31, 0.996), (32, 1.0), (33, 1.0), (34, 0.9932), (35, 1.0), (36, 0.9821), (37, 1.0), (38, 1.0), (39, 0.9845)]",0.9961225,0.9805,20,1,20,20,40,40
